source_slot,source_well,destination_slot,destination_well,volume
9,A12,11,A12,7.0
9,B12,11,B12,7.0
9,C12,11,C12,7.0
9,D12,11,D12,7.0
9,E12,11,E12,7.0
9,F12,11,F12,7.0
9,G12,11,G12,7.0
9,H12,11,H12,7.0
9,A12,11,A10,7.0
9,B12,11,B10,7.0
9,C12,11,C10,7.0
9,D12,11,D10,7.0
9,E12,11,E10,7.0
9,F12,11,F10,7.0
9,G12,11,G10,7.0
9,H12,11,H10,7.0
9,A12,11,A2,7.0
9,B12,11,B2,7.0
9,C12,11,C2,7.0
9,D12,11,D2,7.0
9,E12,11,E2,7.0
9,F12,11,F2,7.0
9,G12,11,G2,7.0
9,H12,11,H2,7.0
9,A12,11,A11,7.0
9,B12,11,B11,7.0
9,C12,11,C11,7.0
9,D12,11,D11,7.0
9,E12,11,E11,7.0
9,F12,11,F11,7.0
9,G12,11,G11,7.0
9,H12,11,H11,7.0
9,A12,11,A8,7.0
9,B12,11,B8,7.0
9,C12,11,C8,7.0
9,D12,11,D8,7.0
9,E12,11,E8,7.0
9,F12,11,F8,7.0
9,G12,11,G8,7.0
9,H12,11,H8,7.0
9,A12,11,A6,7.0
9,B12,11,B6,7.0
9,C12,11,C6,7.0
9,D12,11,D6,7.0
9,E12,11,E6,7.0
9,F12,11,F6,7.0
9,G12,11,G6,7.0
9,H12,11,H6,7.0
9,A12,11,A9,7.0
9,B12,11,B9,7.0
9,C12,11,C9,7.0
9,D12,11,D9,7.0
9,E12,11,E9,7.0
9,F12,11,F9,7.0
9,G12,11,G9,7.0
9,H12,11,H9,7.0
9,A12,11,A4,7.0
9,B12,11,B4,7.0
9,C12,11,C4,7.0
9,D12,11,D4,7.0
9,E12,11,E4,7.0
9,F12,11,F4,7.0
9,G12,11,G4,7.0
9,H12,11,H4,7.0
9,A12,11,A7,7.0
9,B12,11,B7,7.0
9,C12,11,C7,7.0
9,D12,11,D7,7.0
9,E12,11,E7,7.0
9,F12,11,F7,7.0
9,G12,11,G7,7.0
9,H12,11,H7,7.0
9,A12,11,A3,7.0
9,B12,11,B3,7.0
9,C12,11,C3,7.0
9,D12,11,D3,7.0
9,E12,11,E3,7.0
9,F12,11,F3,7.0
9,G12,11,G3,7.0
9,H12,11,H3,7.0
9,A12,11,A5,7.0
9,B12,11,B5,7.0
9,C12,11,C5,7.0
9,D12,11,D5,7.0
9,E12,11,E5,7.0
9,F12,11,F5,7.0
9,G12,11,G5,7.0
9,H12,11,H5,7.0
9,A12,11,A1,7.0
9,B12,11,B1,7.0
9,C12,11,C1,7.0
9,D12,11,D1,7.0
9,E12,11,E1,7.0
9,F12,11,F1,7.0
9,G12,11,G1,7.0
9,H12,11,H1,7.0
10,A1,11,A12,3.0
10,B1,11,B12,3.0
10,C1,11,C12,3.0
10,D1,11,D12,3.0
10,E1,11,E12,3.0
10,F1,11,F12,3.0
10,G1,11,G12,3.0
10,H1,11,H12,3.0
10,A2,11,A10,3.0
10,B2,11,B10,3.0
10,C2,11,C10,3.0
10,D2,11,D10,3.0
10,E2,11,E10,3.0
10,F2,11,F10,3.0
10,G2,11,G10,3.0
10,H2,11,H10,3.0
10,A3,11,A2,3.0
10,B3,11,B2,3.0
10,C3,11,C2,3.0
10,D3,11,D2,3.0
10,E3,11,E2,3.0
10,F3,11,F2,3.0
10,G3,11,G2,3.0
10,H3,11,H2,3.0
10,A4,11,A11,3.0
10,B4,11,B11,3.0
10,C4,11,C11,3.0
10,D4,11,D11,3.0
10,E4,11,E11,3.0
10,F4,11,F11,3.0
10,G4,11,G11,3.0
10,H4,11,H11,3.0
10,A5,11,A8,3.0
10,B5,11,B8,3.0
10,C5,11,C8,3.0
10,D5,11,D8,3.0
10,E5,11,E8,3.0
10,F5,11,F8,3.0
10,G5,11,G8,3.0
10,H5,11,H8,3.0
10,A6,11,A6,3.0
10,B6,11,B6,3.0
10,C6,11,C6,3.0
10,D6,11,D6,3.0
10,E6,11,E6,3.0
10,F6,11,F6,3.0
10,G6,11,G6,3.0
10,H6,11,H6,3.0
10,A7,11,A9,3.0
10,B7,11,B9,3.0
10,C7,11,C9,3.0
10,D7,11,D9,3.0
10,E7,11,E9,3.0
10,F7,11,F9,3.0
10,G7,11,G9,3.0
10,H7,11,H9,3.0
10,A8,11,A4,3.0
10,B8,11,B4,3.0
10,C8,11,C4,3.0
10,D8,11,D4,3.0
10,E8,11,E4,3.0
10,F8,11,F4,3.0
10,G8,11,G4,3.0
10,H8,11,H4,3.0
10,A9,11,A7,3.0
10,B9,11,B7,3.0
10,C9,11,C7,3.0
10,D9,11,D7,3.0
10,E9,11,E7,3.0
10,F9,11,F7,3.0
10,G9,11,G7,3.0
10,H9,11,H7,3.0
10,A10,11,A3,3.0
10,B10,11,B3,3.0
10,C10,11,C3,3.0
10,D10,11,D3,3.0
10,E10,11,E3,3.0
10,F10,11,F3,3.0
10,G10,11,G3,3.0
10,H10,11,H3,3.0
10,A11,11,A5,3.0
10,B11,11,B5,3.0
10,C11,11,C5,3.0
10,D11,11,D5,3.0
10,E11,11,E5,3.0
10,F11,11,F5,3.0
10,G11,11,G5,3.0
10,H11,11,H5,3.0
10,A12,11,A1,3.0
10,B12,11,B1,3.0
10,C12,11,C1,3.0
10,D12,11,D1,3.0
10,E12,11,E1,3.0
10,F12,11,F1,3.0
10,G12,11,G1,3.0
10,H12,11,H1,3.0
9,A12,8,A10,7.0
9,B12,8,B10,7.0
9,C12,8,C10,7.0
9,D12,8,D10,7.0
9,E12,8,E10,7.0
9,F12,8,F10,7.0
9,G12,8,G10,7.0
9,H12,8,H10,7.0
9,A12,8,A9,7.0
9,B12,8,B9,7.0
9,C12,8,C9,7.0
9,D12,8,D9,7.0
9,E12,8,E9,7.0
9,F12,8,F9,7.0
9,G12,8,G9,7.0
9,H12,8,H9,7.0
9,A12,8,A2,7.0
9,B12,8,B2,7.0
9,C12,8,C2,7.0
9,D12,8,D2,7.0
9,E12,8,E2,7.0
9,F12,8,F2,7.0
9,G12,8,G2,7.0
9,H12,8,H2,7.0
9,A12,8,A6,7.0
9,B12,8,B6,7.0
9,C12,8,C6,7.0
9,D12,8,D6,7.0
9,E12,8,E6,7.0
9,F12,8,F6,7.0
9,G12,8,G6,7.0
9,H12,8,H6,7.0
9,A12,8,A7,7.0
9,B12,8,B7,7.0
9,C12,8,C7,7.0
9,D12,8,D7,7.0
9,E12,8,E7,7.0
9,F12,8,F7,7.0
9,G12,8,G7,7.0
9,H12,8,H7,7.0
9,A12,8,A1,7.0
9,B12,8,B1,7.0
9,C12,8,C1,7.0
9,D12,8,D1,7.0
9,E12,8,E1,7.0
9,F12,8,F1,7.0
9,G12,8,G1,7.0
9,H12,8,H1,7.0
9,A12,8,A12,7.0
9,B12,8,B12,7.0
9,C12,8,C12,7.0
9,D12,8,D12,7.0
9,E12,8,E12,7.0
9,F12,8,F12,7.0
9,G12,8,G12,7.0
9,H12,8,H12,7.0
9,A12,8,A5,7.0
9,B12,8,B5,7.0
9,C12,8,C5,7.0
9,D12,8,D5,7.0
9,E12,8,E5,7.0
9,F12,8,F5,7.0
9,G12,8,G5,7.0
9,H12,8,H5,7.0
9,A12,8,A3,7.0
9,B12,8,B3,7.0
9,C12,8,C3,7.0
9,D12,8,D3,7.0
9,E12,8,E3,7.0
9,F12,8,F3,7.0
9,G12,8,G3,7.0
9,H12,8,H3,7.0
9,A12,8,A8,7.0
9,B12,8,B8,7.0
9,C12,8,C8,7.0
9,D12,8,D8,7.0
9,E12,8,E8,7.0
9,F12,8,F8,7.0
9,G12,8,G8,7.0
9,H12,8,H8,7.0
9,A12,8,A4,7.0
9,B12,8,B4,7.0
9,C12,8,C4,7.0
9,D12,8,D4,7.0
9,E12,8,E4,7.0
9,F12,8,F4,7.0
9,G12,8,G4,7.0
9,H12,8,H4,7.0
9,A12,8,A11,7.0
9,B12,8,B11,7.0
9,C12,8,C11,7.0
9,D12,8,D11,7.0
9,E12,8,E11,7.0
9,F12,8,F11,7.0
9,G12,8,G11,7.0
9,H12,8,H11,7.0
7,A1,8,A10,3.0
7,B1,8,B10,3.0
7,C1,8,C10,3.0
7,D1,8,D10,3.0
7,E1,8,E10,3.0
7,F1,8,F10,3.0
7,G1,8,G10,3.0
7,H1,8,H10,3.0
7,A2,8,A9,3.0
7,B2,8,B9,3.0
7,C2,8,C9,3.0
7,D2,8,D9,3.0
7,E2,8,E9,3.0
7,F2,8,F9,3.0
7,G2,8,G9,3.0
7,H2,8,H9,3.0
7,A3,8,A2,3.0
7,B3,8,B2,3.0
7,C3,8,C2,3.0
7,D3,8,D2,3.0
7,E3,8,E2,3.0
7,F3,8,F2,3.0
7,G3,8,G2,3.0
7,H3,8,H2,3.0
7,A4,8,A6,3.0
7,B4,8,B6,3.0
7,C4,8,C6,3.0
7,D4,8,D6,3.0
7,E4,8,E6,3.0
7,F4,8,F6,3.0
7,G4,8,G6,3.0
7,H4,8,H6,3.0
7,A5,8,A7,3.0
7,B5,8,B7,3.0
7,C5,8,C7,3.0
7,D5,8,D7,3.0
7,E5,8,E7,3.0
7,F5,8,F7,3.0
7,G5,8,G7,3.0
7,H5,8,H7,3.0
7,A6,8,A1,3.0
7,B6,8,B1,3.0
7,C6,8,C1,3.0
7,D6,8,D1,3.0
7,E6,8,E1,3.0
7,F6,8,F1,3.0
7,G6,8,G1,3.0
7,H6,8,H1,3.0
7,A7,8,A12,3.0
7,B7,8,B12,3.0
7,C7,8,C12,3.0
7,D7,8,D12,3.0
7,E7,8,E12,3.0
7,F7,8,F12,3.0
7,G7,8,G12,3.0
7,H7,8,H12,3.0
7,A8,8,A5,3.0
7,B8,8,B5,3.0
7,C8,8,C5,3.0
7,D8,8,D5,3.0
7,E8,8,E5,3.0
7,F8,8,F5,3.0
7,G8,8,G5,3.0
7,H8,8,H5,3.0
7,A9,8,A3,3.0
7,B9,8,B3,3.0
7,C9,8,C3,3.0
7,D9,8,D3,3.0
7,E9,8,E3,3.0
7,F9,8,F3,3.0
7,G9,8,G3,3.0
7,H9,8,H3,3.0
7,A10,8,A8,3.0
7,B10,8,B8,3.0
7,C10,8,C8,3.0
7,D10,8,D8,3.0
7,E10,8,E8,3.0
7,F10,8,F8,3.0
7,G10,8,G8,3.0
7,H10,8,H8,3.0
7,A11,8,A4,3.0
7,B11,8,B4,3.0
7,C11,8,C4,3.0
7,D11,8,D4,3.0
7,E11,8,E4,3.0
7,F11,8,F4,3.0
7,G11,8,G4,3.0
7,H11,8,H4,3.0
7,A12,8,A11,3.0
7,B12,8,B11,3.0
7,C12,8,C11,3.0
7,D12,8,D11,3.0
7,E12,8,E11,3.0
7,F12,8,F11,3.0
7,G12,8,G11,3.0
7,H12,8,H11,3.0
9,A12,5,A5,7.0
9,B12,5,B5,7.0
9,C12,5,C5,7.0
9,D12,5,D5,7.0
9,E12,5,E5,7.0
9,F12,5,F5,7.0
9,G12,5,G5,7.0
9,H12,5,H5,7.0
9,A12,5,A9,7.0
9,B12,5,B9,7.0
9,C12,5,C9,7.0
9,D12,5,D9,7.0
9,E12,5,E9,7.0
9,F12,5,F9,7.0
9,G12,5,G9,7.0
9,H12,5,H9,7.0
9,A12,5,A4,7.0
9,B12,5,B4,7.0
9,C12,5,C4,7.0
9,D12,5,D4,7.0
9,E12,5,E4,7.0
9,F12,5,F4,7.0
9,G12,5,G4,7.0
9,H12,5,H4,7.0
9,A12,5,A8,7.0
9,B12,5,B8,7.0
9,C12,5,C8,7.0
9,D12,5,D8,7.0
9,E12,5,E8,7.0
9,F12,5,F8,7.0
9,G12,5,G8,7.0
9,H12,5,H8,7.0
9,A12,5,A6,7.0
9,B12,5,B6,7.0
9,C12,5,C6,7.0
9,D12,5,D6,7.0
9,E12,5,E6,7.0
9,F12,5,F6,7.0
9,G12,5,G6,7.0
9,H12,5,H6,7.0
9,A12,5,A3,7.0
9,B12,5,B3,7.0
9,C12,5,C3,7.0
9,D12,5,D3,7.0
9,E12,5,E3,7.0
9,F12,5,F3,7.0
9,G12,5,G3,7.0
9,H12,5,H3,7.0
9,A12,5,A12,7.0
9,B12,5,B12,7.0
9,C12,5,C12,7.0
9,D12,5,D12,7.0
9,E12,5,E12,7.0
9,F12,5,F12,7.0
9,G12,5,G12,7.0
9,H12,5,H12,7.0
9,A12,5,A11,7.0
9,B12,5,B11,7.0
9,C12,5,C11,7.0
9,D12,5,D11,7.0
9,E12,5,E11,7.0
9,F12,5,F11,7.0
9,G12,5,G11,7.0
9,H12,5,H11,7.0
9,A12,5,A1,7.0
9,B12,5,B1,7.0
9,C12,5,C1,7.0
9,D12,5,D1,7.0
9,E12,5,E1,7.0
9,F12,5,F1,7.0
9,G12,5,G1,7.0
9,H12,5,H1,7.0
9,A12,5,A7,7.0
9,B12,5,B7,7.0
9,C12,5,C7,7.0
9,D12,5,D7,7.0
9,E12,5,E7,7.0
9,F12,5,F7,7.0
9,G12,5,G7,7.0
9,H12,5,H7,7.0
9,A12,5,A2,7.0
9,B12,5,B2,7.0
9,C12,5,C2,7.0
9,D12,5,D2,7.0
9,E12,5,E2,7.0
9,F12,5,F2,7.0
9,G12,5,G2,7.0
9,H12,5,H2,7.0
9,A12,5,A10,7.0
9,B12,5,B10,7.0
9,C12,5,C10,7.0
9,D12,5,D10,7.0
9,E12,5,E10,7.0
9,F12,5,F10,7.0
9,G12,5,G10,7.0
9,H12,5,H10,7.0
4,A1,5,A5,3.0
4,B1,5,B5,3.0
4,C1,5,C5,3.0
4,D1,5,D5,3.0
4,E1,5,E5,3.0
4,F1,5,F5,3.0
4,G1,5,G5,3.0
4,H1,5,H5,3.0
4,A2,5,A9,3.0
4,B2,5,B9,3.0
4,C2,5,C9,3.0
4,D2,5,D9,3.0
4,E2,5,E9,3.0
4,F2,5,F9,3.0
4,G2,5,G9,3.0
4,H2,5,H9,3.0
4,A3,5,A4,3.0
4,B3,5,B4,3.0
4,C3,5,C4,3.0
4,D3,5,D4,3.0
4,E3,5,E4,3.0
4,F3,5,F4,3.0
4,G3,5,G4,3.0
4,H3,5,H4,3.0
4,A4,5,A8,3.0
4,B4,5,B8,3.0
4,C4,5,C8,3.0
4,D4,5,D8,3.0
4,E4,5,E8,3.0
4,F4,5,F8,3.0
4,G4,5,G8,3.0
4,H4,5,H8,3.0
4,A5,5,A6,3.0
4,B5,5,B6,3.0
4,C5,5,C6,3.0
4,D5,5,D6,3.0
4,E5,5,E6,3.0
4,F5,5,F6,3.0
4,G5,5,G6,3.0
4,H5,5,H6,3.0
4,A6,5,A3,3.0
4,B6,5,B3,3.0
4,C6,5,C3,3.0
4,D6,5,D3,3.0
4,E6,5,E3,3.0
4,F6,5,F3,3.0
4,G6,5,G3,3.0
4,H6,5,H3,3.0
4,A7,5,A12,3.0
4,B7,5,B12,3.0
4,C7,5,C12,3.0
4,D7,5,D12,3.0
4,E7,5,E12,3.0
4,F7,5,F12,3.0
4,G7,5,G12,3.0
4,H7,5,H12,3.0
4,A8,5,A11,3.0
4,B8,5,B11,3.0
4,C8,5,C11,3.0
4,D8,5,D11,3.0
4,E8,5,E11,3.0
4,F8,5,F11,3.0
4,G8,5,G11,3.0
4,H8,5,H11,3.0
4,A9,5,A1,3.0
4,B9,5,B1,3.0
4,C9,5,C1,3.0
4,D9,5,D1,3.0
4,E9,5,E1,3.0
4,F9,5,F1,3.0
4,G9,5,G1,3.0
4,H9,5,H1,3.0
4,A10,5,A7,3.0
4,B10,5,B7,3.0
4,C10,5,C7,3.0
4,D10,5,D7,3.0
4,E10,5,E7,3.0
4,F10,5,F7,3.0
4,G10,5,G7,3.0
4,H10,5,H7,3.0
4,A11,5,A2,3.0
4,B11,5,B2,3.0
4,C11,5,C2,3.0
4,D11,5,D2,3.0
4,E11,5,E2,3.0
4,F11,5,F2,3.0
4,G11,5,G2,3.0
4,H11,5,H2,3.0
4,A12,5,A10,3.0
4,B12,5,B10,3.0
4,C12,5,C10,3.0
4,D12,5,D10,3.0
4,E12,5,E10,3.0
4,F12,5,F10,3.0
4,G12,5,G10,3.0
4,H12,5,H10,3.0
9,A12,2,A3,7.0
9,B12,2,B3,7.0
9,C12,2,C3,7.0
9,D12,2,D3,7.0
9,E12,2,E3,7.0
9,F12,2,F3,7.0
9,G12,2,G3,7.0
9,H12,2,H3,7.0
9,A12,2,A1,7.0
9,B12,2,B1,7.0
9,C12,2,C1,7.0
9,D12,2,D1,7.0
9,E12,2,E1,7.0
9,F12,2,F1,7.0
9,G12,2,G1,7.0
9,H12,2,H1,7.0
9,A12,2,A9,7.0
9,B12,2,B9,7.0
9,C12,2,C9,7.0
9,D12,2,D9,7.0
9,E12,2,E9,7.0
9,F12,2,F9,7.0
9,G12,2,G9,7.0
9,H12,2,H9,7.0
9,A12,2,A10,7.0
9,B12,2,B10,7.0
9,C12,2,C10,7.0
9,D12,2,D10,7.0
9,E12,2,E10,7.0
9,F12,2,F10,7.0
9,G12,2,G10,7.0
9,H12,2,H10,7.0
9,A12,2,A6,7.0
9,B12,2,B6,7.0
9,C12,2,C6,7.0
9,D12,2,D6,7.0
9,E12,2,E6,7.0
9,F12,2,F6,7.0
9,G12,2,G6,7.0
9,H12,2,H6,7.0
9,A12,2,A5,7.0
9,B12,2,B5,7.0
9,C12,2,C5,7.0
9,D12,2,D5,7.0
9,E12,2,E5,7.0
9,F12,2,F5,7.0
9,G12,2,G5,7.0
9,H12,2,H5,7.0
9,A12,2,A7,7.0
9,B12,2,B7,7.0
9,C12,2,C7,7.0
9,D12,2,D7,7.0
9,E12,2,E7,7.0
9,F12,2,F7,7.0
9,G12,2,G7,7.0
9,H12,2,H7,7.0
9,A12,2,A8,7.0
9,B12,2,B8,7.0
9,C12,2,C8,7.0
9,D12,2,D8,7.0
9,E12,2,E8,7.0
9,F12,2,F8,7.0
9,G12,2,G8,7.0
9,H12,2,H8,7.0
9,A12,2,A11,7.0
9,B12,2,B11,7.0
9,C12,2,C11,7.0
9,D12,2,D11,7.0
9,E12,2,E11,7.0
9,F12,2,F11,7.0
9,G12,2,G11,7.0
9,H12,2,H11,7.0
9,A12,2,A12,7.0
9,B12,2,B12,7.0
9,C12,2,C12,7.0
9,D12,2,D12,7.0
9,E12,2,E12,7.0
9,F12,2,F12,7.0
9,G12,2,G12,7.0
9,H12,2,H12,7.0
9,A12,2,A4,7.0
9,B12,2,B4,7.0
9,C12,2,C4,7.0
9,D12,2,D4,7.0
9,E12,2,E4,7.0
9,F12,2,F4,7.0
9,G12,2,G4,7.0
9,H12,2,H4,7.0
9,A12,2,A2,7.0
9,B12,2,B2,7.0
9,C12,2,C2,7.0
9,D12,2,D2,7.0
9,E12,2,E2,7.0
9,F12,2,F2,7.0
9,G12,2,G2,7.0
9,H12,2,H2,7.0
1,A1,2,A3,3.0
1,B1,2,B3,3.0
1,C1,2,C3,3.0
1,D1,2,D3,3.0
1,E1,2,E3,3.0
1,F1,2,F3,3.0
1,G1,2,G3,3.0
1,H1,2,H3,3.0
1,A2,2,A1,3.0
1,B2,2,B1,3.0
1,C2,2,C1,3.0
1,D2,2,D1,3.0
1,E2,2,E1,3.0
1,F2,2,F1,3.0
1,G2,2,G1,3.0
1,H2,2,H1,3.0
1,A3,2,A9,3.0
1,B3,2,B9,3.0
1,C3,2,C9,3.0
1,D3,2,D9,3.0
1,E3,2,E9,3.0
1,F3,2,F9,3.0
1,G3,2,G9,3.0
1,H3,2,H9,3.0
1,A4,2,A10,3.0
1,B4,2,B10,3.0
1,C4,2,C10,3.0
1,D4,2,D10,3.0
1,E4,2,E10,3.0
1,F4,2,F10,3.0
1,G4,2,G10,3.0
1,H4,2,H10,3.0
1,A5,2,A6,3.0
1,B5,2,B6,3.0
1,C5,2,C6,3.0
1,D5,2,D6,3.0
1,E5,2,E6,3.0
1,F5,2,F6,3.0
1,G5,2,G6,3.0
1,H5,2,H6,3.0
1,A6,2,A5,3.0
1,B6,2,B5,3.0
1,C6,2,C5,3.0
1,D6,2,D5,3.0
1,E6,2,E5,3.0
1,F6,2,F5,3.0
1,G6,2,G5,3.0
1,H6,2,H5,3.0
1,A7,2,A7,3.0
1,B7,2,B7,3.0
1,C7,2,C7,3.0
1,D7,2,D7,3.0
1,E7,2,E7,3.0
1,F7,2,F7,3.0
1,G7,2,G7,3.0
1,H7,2,H7,3.0
1,A8,2,A8,3.0
1,B8,2,B8,3.0
1,C8,2,C8,3.0
1,D8,2,D8,3.0
1,E8,2,E8,3.0
1,F8,2,F8,3.0
1,G8,2,G8,3.0
1,H8,2,H8,3.0
1,A9,2,A11,3.0
1,B9,2,B11,3.0
1,C9,2,C11,3.0
1,D9,2,D11,3.0
1,E9,2,E11,3.0
1,F9,2,F11,3.0
1,G9,2,G11,3.0
1,H9,2,H11,3.0
1,A10,2,A12,3.0
1,B10,2,B12,3.0
1,C10,2,C12,3.0
1,D10,2,D12,3.0
1,E10,2,E12,3.0
1,F10,2,F12,3.0
1,G10,2,G12,3.0
1,H10,2,H12,3.0
1,A11,2,A4,3.0
1,B11,2,B4,3.0
1,C11,2,C4,3.0
1,D11,2,D4,3.0
1,E11,2,E4,3.0
1,F11,2,F4,3.0
1,G11,2,G4,3.0
1,H11,2,H4,3.0
1,A12,2,A2,3.0
1,B12,2,B2,3.0
1,C12,2,C2,3.0
1,D12,2,D2,3.0
1,E12,2,E2,3.0
1,F12,2,F2,3.0
1,G12,2,G2,3.0
1,H12,2,H2,3.0
