instrument_name,imaging_run_number,imaging_plate_id,date_yyyymmdd,cave_temperature,cave_humidity
Hydra01,1,rr01_sp01_ds02,20191213,,
Hydra02,1,rr01_sp02_ds05,20191213,,
Hydra03,1,rr01_sp03_ds08,20191213,,
Hydra04,1,rr01_sp04_ds11,20191213,,
Hydra05,1,rr02_sp05_ds02,20191213,,
Hydra01,2,rr02_sp06_ds05,20191213,,
Hydra02,2,rr02_sp07_ds08,20191213,,
Hydra03,2,rr02_sp08_ds11,20191213,,
Hydra04,2,rr03_sp09_ds02,20191213,,
Hydra05,2,rr03_sp10_ds05,20191213,,
Hydra01,3,rr03_sp11_ds08,20191213,,
Hydra02,3,rr03_sp12_ds11,20191213,,
Hydra03,3,rr04_sp13_ds02,20191213,,
Hydra04,3,rr04_sp14_ds05,20191213,,
Hydra05,3,rr04_sp15_ds08,20191213,,
Hydra01,4,rr04_sp16_ds11,20191213,,
Hydra02,4,rr05_sp17_ds02,20191213,,
Hydra03,4,rr05_sp18_ds05,20191213,,
Hydra04,4,rr05_sp19_ds08,20191213,,
Hydra05,4,rr05_sp20_ds11,20191213,,
Hydra01,5,rr06_sp21_ds02,20191213,,
Hydra02,5,rr06_sp22_ds05,20191213,,
Hydra03,5,rr06_sp23_ds08,20191213,,
Hydra04,5,rr06_sp24_ds11,20191213,,
Hydra05,5,rr07_sp25_ds02,20191213,,
Hydra01,6,rr07_sp26_ds05,20191213,,
Hydra02,6,rr07_sp27_ds08,20191213,,
Hydra03,6,rr07_sp28_ds11,20191213,,