imaging_plate_id,start_well,end_well,worm_strain,bacteria_strain,wormsorter_start_time,wormsorter_end_time,middle_wormsorter_time,cave_time,recording_time,media_type,number_worms_per_well,date_bleached_yyyymmdd,date_refed_yyyymmdd,days_in_diapause,cave_temp_oC,cave_humidity_percent,date_plates_poured_yyyymmdd,which_first,50ml_falcon_tube,comments
rr01_sp01_ds02,A1,D12,N2,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr01_sp01_ds02,E1,H12,CB4856,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr01_sp02_ds05,A1,D12,N2,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr01_sp02_ds05,E1,H12,CB4856,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr01_sp03_ds08,A1,D12,N2,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr01_sp03_ds08,E1,H12,CB4856,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr01_sp04_ds11,A1,D12,N2,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr01_sp04_ds11,E1,H12,CB4856,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr02_sp05_ds02,A1,D12,N2,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr02_sp05_ds02,E1,H12,CB4856,OP50,10:15,10:35,10:25,13:55,14:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr02_sp06_ds05,A1,D12,CB4856,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr02_sp06_ds05,E1,H12,N2,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr02_sp07_ds08,A1,D12,CB4856,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr02_sp07_ds08,E1,H12,N2,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr02_sp08_ds11,A1,D12,CB4856,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr02_sp08_ds11,E1,H12,N2,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr03_sp09_ds02,A1,D12,CB4856,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr03_sp09_ds02,E1,H12,N2,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr03_sp10_ds05,A1,D12,CB4856,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr03_sp10_ds05,E1,H12,N2,OP50,10:45,11:05,10:55,14:25,14:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr03_sp11_ds08,A1,D12,N2,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr03_sp11_ds08,E1,H12,CB4856,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr03_sp12_ds11,A1,D12,N2,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr03_sp12_ds11,E1,H12,CB4856,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr04_sp13_ds02,A1,D12,N2,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr04_sp13_ds02,E1,H12,CB4856,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr04_sp14_ds05,A1,D12,N2,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr04_sp14_ds05,E1,H12,CB4856,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr04_sp15_ds08,A1,D12,N2,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr04_sp15_ds08,E1,H12,CB4856,OP50,11:15,11:35,11:25,14:55,15:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,1,
rr04_sp16_ds11,A1,D12,CB4856,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr04_sp16_ds11,E1,H12,N2,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr05_sp17_ds02,A1,D12,CB4856,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr05_sp17_ds02,E1,H12,N2,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr05_sp18_ds05,A1,D12,CB4856,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr05_sp18_ds05,E1,H12,N2,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr05_sp19_ds08,A1,D12,CB4856,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr05_sp19_ds08,E1,H12,N2,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr05_sp20_ds11,A1,D12,CB4856,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,1,
rr05_sp20_ds11,E1,H12,N2,OP50,11:45,12:05,11:55,15:25,15:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr06_sp21_ds02,A1,D12,N2,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr06_sp21_ds02,E1,H12,CB4856,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr06_sp22_ds05,A1,D12,N2,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr06_sp22_ds05,E1,H12,CB4856,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr06_sp23_ds08,A1,D12,N2,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr06_sp23_ds08,E1,H12,CB4856,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr06_sp24_ds11,A1,D12,N2,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr06_sp24_ds11,E1,H12,CB4856,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr07_sp25_ds02,A1,D12,N2,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr07_sp25_ds02,E1,H12,CB4856,OP50,12:15,12:35,12:25,15:55,16:25,LPNGM,2,20191208,20191210,2,,,20191203,N2,2,
rr07_sp26_ds05,A1,D12,CB4856,OP50,12:45,13:05,12:55,16:25,16:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr07_sp26_ds05,E1,H12,N2,OP50,12:45,13:05,12:55,16:25,16:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr07_sp27_ds08,A1,D12,CB4856,OP50,12:45,13:05,12:55,16:25,16:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr07_sp27_ds08,E1,H12,N2,OP50,12:45,13:05,12:55,16:25,16:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr07_sp28_ds11,A1,D12,CB4856,OP50,12:45,13:05,12:55,16:25,16:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,
rr07_sp28_ds11,E1,H12,N2,OP50,12:45,13:05,12:55,16:25,16:55,LPNGM,2,20191208,20191210,2,,,20191203,CB4856,2,